target_id	target_name	target_definition	antibiotic_id	antibiotic_name
ARO:3003251	undecaprenyl pyrophosphate	Undecaprenyl pyrophosphate is a precursor to a cell wall polymer carrier. It's activation requires a phosphatase.	ARO:0000041	bacitracin
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000043	carbenicillin
ARO:3000754	antibiotic sensitive peptidyl transferase (23S rRNA)	The bacterial 23S rRNA, at the P site of the 50S subunit, has peptidyl transferase activity and is responsible for peptide synthesis and elongation.	ARO:0000046	lincomycin
ARO:3000756	30S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain. Antibiotics that target the P-site block fMet-tRNA from entering, thus inhibiting peptide elongation.	ARO:0000047	puromycin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000049	kanamycin A
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000051	tetracycline
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000052	tobramycin
ARO:3000738	deoxyribonucleic acid	Antibiotics can target DNA to cause strand breaks or prevent transcription. The activity of these antibiotics can be context dependent: some antibiotics are converted to an active form only in certain species, while others target DNA as it is being transcribed.	ARO:0000053	bleomycin
ARO:3000740	ribonucleic acid	Many types of ribonucleic acids (RNAs) are targeted by antibiotics, including mRNA templates and ribosomal RNA. Some antibiotics target all RNAs and cause strand breaks.	ARO:0000053	bleomycin
ARO:3000736	rho transcription terminator factor	The rho transcription terminator factor moves along RNA as it is transcribed, unwinding the RNA from the DNA. It is also responsible for recognizing transcription termination pause sites, slowing down RNA polymerase and allowing mRNA to be released.	ARO:0000055	bicyclomycin
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000056	oxacillin
ARO:3000757	50S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain, and is a common target for many antibiotics that inhibit the 50S ribosomal subunit. Some antibiotics (oxazolidinones) block the 50S subunit from interacting with the 30S subunit to prevent the formation of the ribosomal complex. Other antibiotics (thiostrepton) block the 50S subunit from interacting with elongation factors G and Tu (EF-G, Ef-Tu), preventing GTP-dependent reactions of peptidyl transferase, and translocation, respectively. Other antibiotics (macrolides) prevent protein translocation.	ARO:0000057	telithromycin
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000058	cefazolin
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000059	cefepime
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000060	ceftazidime
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000061	ceftobiprole
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000062	ceftriaxone
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000063	cefuroxime
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000064	amoxicillin
ARO:3000757	50S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain, and is a common target for many antibiotics that inhibit the 50S ribosomal subunit. Some antibiotics (oxazolidinones) block the 50S subunit from interacting with the 30S subunit to prevent the formation of the ribosomal complex. Other antibiotics (thiostrepton) block the 50S subunit from interacting with elongation factors G and Tu (EF-G, Ef-Tu), preventing GTP-dependent reactions of peptidyl transferase, and translocation, respectively. Other antibiotics (macrolides) prevent protein translocation.	ARO:0000065	clarithromycin
ARO:3000754	antibiotic sensitive peptidyl transferase (23S rRNA)	The bacterial 23S rRNA, at the P site of the 50S subunit, has peptidyl transferase activity and is responsible for peptide synthesis and elongation.	ARO:0000066	clindamycin
ARO:3003275	Daptomycin sensitive cardiolipin synthetase	Cardiolipin synthetase catalyzes the formation of cardiolipin from two phosphatidylglycerol molecules. Cardiolipin is important in membrane translocation and permeabilization. Mutations on the enzyme confers resistance to Daptomycin.	ARO:0000068	daptomycin
ARO:3003278	daptomycin sensitive beta-subunit of RNA polymerase (rpoB)	Daptomycin binds to the cytoplasmic membrane of Gram-positive. It's lipopeptide tail servers as a ion channel for potassium. This causes a rapid depolarization that result in failures in DNA/RNA/Protein synthesis. Eventually cell death.	ARO:0000068	daptomycin
ARO:3003280	antibiotic sensitive mprF	MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface of both Gram-positive and Gram-negative bacteria. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins. Mutations in this enzyme can confer additional resistances.	ARO:0000068	daptomycin
ARO:3003281	antibiotic sensitive pgsA	pgsA or phosphatidylglycerophosphate synthetase is an integral membrane protein involved in phospholipid biosynthesis. Inhibition of this enzyme leads to cell death via the inability to form the plasma membrane.	ARO:0000068	daptomycin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000069	doxycycline
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000070	ertapenem
ARO:3000733	fluoroquinolone sensitive gyrA	DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. Binding the alpha-subunit is sufficient to inhibit DNA supercoiling.	ARO:0000071	levofloxacin
ARO:3000735	Fluoroquinolone sensitive parC	parC is a subunit of the DNA topoisomerase IV and is sensitive to fluoroquinolone.	ARO:0000071	levofloxacin
ARO:3000757	50S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain, and is a common target for many antibiotics that inhibit the 50S ribosomal subunit. Some antibiotics (oxazolidinones) block the 50S subunit from interacting with the 30S subunit to prevent the formation of the ribosomal complex. Other antibiotics (thiostrepton) block the 50S subunit from interacting with elongation factors G and Tu (EF-G, Ef-Tu), preventing GTP-dependent reactions of peptidyl transferase, and translocation, respectively. Other antibiotics (macrolides) prevent protein translocation.	ARO:0000072	linezolid
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000073	meropenem
ARO:3000733	fluoroquinolone sensitive gyrA	DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. Binding the alpha-subunit is sufficient to inhibit DNA supercoiling.	ARO:0000074	moxifloxacin
ARO:3000738	deoxyribonucleic acid	Antibiotics can target DNA to cause strand breaks or prevent transcription. The activity of these antibiotics can be context dependent: some antibiotics are converted to an active form only in certain species, while others target DNA as it is being transcribed.	ARO:0000075	nitrofurantoin
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000078	piperacillin
ARO:3000720	acyl-D-alanyl-D-alanine	The acyl-D-alanyl-D-alanine group is found at the terminal end of the pentapeptide chains of peptidoglycan subunits. Antibiotics that bind to this group block the addition of subunits, inhibiting peptidoglycan synthesis. This group is most accessible in Gram-postive bacteria.	ARO:3000022	ristocetin
ARO:3000023	aminocoumarin sensitive parE	Subunit of the topoisomerase IV sensitive to aminocoumarins.	ARO:3000111	novobiocin
ARO:3000734	antibiotic sensitive DNA topoisomerase subunit gyrB	DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. Binding the beta-subunit is sufficient to inhibit DNA supercoiling.	ARO:3000111	novobiocin
ARO:3003253	aminocoumarin sensitive parY	Subunit of topoisomerase IV sensitive to aminocourmarins.	ARO:3000111	novobiocin
ARO:3003260	aminocoumarin sensitive gyrB	Beta-subunit of DNA gyrase sensitive to inhibition by aminocoumarins.	ARO:3000111	novobiocin
ARO:3000720	acyl-D-alanyl-D-alanine	The acyl-D-alanyl-D-alanine group is found at the terminal end of the pentapeptide chains of peptidoglycan subunits. Antibiotics that bind to this group block the addition of subunits, inhibiting peptidoglycan synthesis. This group is most accessible in Gram-postive bacteria.	ARO:3000117	antibiotic A47934
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:3000119	edeine
ARO:3000720	acyl-D-alanyl-D-alanine	The acyl-D-alanyl-D-alanine group is found at the terminal end of the pentapeptide chains of peptidoglycan subunits. Antibiotics that bind to this group block the addition of subunits, inhibiting peptidoglycan synthesis. This group is most accessible in Gram-postive bacteria.	ARO:3000120	balhimycin
ARO:3000710	cell membrane component targeted by antibiotic	Interaction with the cell membrane phospholipids interferes with membrane permeability and integrity, leading to the leakage of cell contents. The outer membrane of Gram-negative bacteria is particularly sensitive.	ARO:3000123	gramicidin
ARO:3000756	30S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain. Antibiotics that target the P-site block fMet-tRNA from entering, thus inhibiting peptide elongation.	ARO:3000130	edeine A
ARO:3000023	aminocoumarin sensitive parE	Subunit of the topoisomerase IV sensitive to aminocoumarins.	ARO:3000132	clorobiocin
ARO:3000734	antibiotic sensitive DNA topoisomerase subunit gyrB	DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. Binding the beta-subunit is sufficient to inhibit DNA supercoiling.	ARO:3000132	clorobiocin
ARO:3003253	aminocoumarin sensitive parY	Subunit of topoisomerase IV sensitive to aminocourmarins.	ARO:3000132	clorobiocin
ARO:3003260	aminocoumarin sensitive gyrB	Beta-subunit of DNA gyrase sensitive to inhibition by aminocoumarins.	ARO:3000132	clorobiocin
ARO:3000756	30S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain. Antibiotics that target the P-site block fMet-tRNA from entering, thus inhibiting peptide elongation.	ARO:3000134	edeine B
ARO:3000756	30S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain. Antibiotics that target the P-site block fMet-tRNA from entering, thus inhibiting peptide elongation.	ARO:3000135	edeine D
ARO:3000756	30S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain. Antibiotics that target the P-site block fMet-tRNA from entering, thus inhibiting peptide elongation.	ARO:3000136	edeine F
ARO:3000757	50S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain, and is a common target for many antibiotics that inhibit the 50S ribosomal subunit. Some antibiotics (oxazolidinones) block the 50S subunit from interacting with the 30S subunit to prevent the formation of the ribosomal complex. Other antibiotics (thiostrepton) block the 50S subunit from interacting with elongation factors G and Tu (EF-G, Ef-Tu), preventing GTP-dependent reactions of peptidyl transferase, and translocation, respectively. Other antibiotics (macrolides) prevent protein translocation.	ARO:3000145	tylosin
ARO:3000023	aminocoumarin sensitive parE	Subunit of the topoisomerase IV sensitive to aminocoumarins.	ARO:3000150	coumermycin A1
ARO:3000734	antibiotic sensitive DNA topoisomerase subunit gyrB	DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. Binding the beta-subunit is sufficient to inhibit DNA supercoiling.	ARO:3000150	coumermycin A1
ARO:3003253	aminocoumarin sensitive parY	Subunit of topoisomerase IV sensitive to aminocourmarins.	ARO:3000150	coumermycin A1
ARO:3003260	aminocoumarin sensitive gyrB	Beta-subunit of DNA gyrase sensitive to inhibition by aminocoumarins.	ARO:3000150	coumermycin A1
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:3000152	minocycline
ARO:3000757	50S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain, and is a common target for many antibiotics that inhibit the 50S ribosomal subunit. Some antibiotics (oxazolidinones) block the 50S subunit from interacting with the 30S subunit to prevent the formation of the ribosomal complex. Other antibiotics (thiostrepton) block the 50S subunit from interacting with elongation factors G and Tu (EF-G, Ef-Tu), preventing GTP-dependent reactions of peptidyl transferase, and translocation, respectively. Other antibiotics (macrolides) prevent protein translocation.	ARO:3000156	spiramycin
ARO:3000757	50S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain, and is a common target for many antibiotics that inhibit the 50S ribosomal subunit. Some antibiotics (oxazolidinones) block the 50S subunit from interacting with the 30S subunit to prevent the formation of the ribosomal complex. Other antibiotics (thiostrepton) block the 50S subunit from interacting with elongation factors G and Tu (EF-G, Ef-Tu), preventing GTP-dependent reactions of peptidyl transferase, and translocation, respectively. Other antibiotics (macrolides) prevent protein translocation.	ARO:3000158	azithromycin
